page_url,image_url,tvshow_title,description
https://lordserials.fan/zarubezhnye-serialy/2149-vojna-i-mir.html,,Война и мир,"Эта масштабная экранизация бессмертного романа-эпопеи Льва Толстого переносит зрителей в начало XIX века, раскрывая жизнь русской аристократии и простого народа на фоне великих исторических потрясений. В центре повествования – судьбы нескольких аристократических семей, чьи личные драмы переплетаются с судьбоносными событиями для всей страны."
https://lordserials.fan/zarubezhnye-serialy/2356-ataka-na-london-ohota-za-terroristami.html,,Атака на Лондон: Охота за террористами,Рассказы очевидцев и ранее не публиковавшиеся кадры дают полное представление о взрывах 7 июля 2005 года в лондонском транспорте и их страшных последствиях.
https://lordserials.fan/zarubezhnye-serialy/2048-razoblachenie.html,,Разоблачение,"История группе репортеров-расследователей, которые используют свои камеры, чтобы разоблачать плохих людей. О Со Рён — неординарный и бесстрашный руководитель программы расследований «Триггер». Она не знает преград в своём стремлении раскрыть темные дела, которые вершатся в высших эшелонах власти. Ее находчивость и порой даже безрассудство помогают ей успешно вести расследования на сложном поле журналистской деятельности."
https://lordserials.fan/zarubezhnye-serialy/1244-koroner.html,,Коронер,"В центре сюжета оказывается Дженни Купер — бывший врач скорой помощи, которая потеряла супруга три месяца назад и до сих пор не оправилась от этой трагедии. Устроившись на должность коронера, женщина сталкивается со странным самоубийством двух подростков в тюрьме для несовершеннолетних. Несмотря на заявление полиции, что суицид в подобных заведениях — довольно частое явление, Дженни уверенна, что подростков убили. Объединив усилия с опытным детективом полиции Донованом, героиня начинает собственное расследование..."
https://lordserials.fan/zarubezhnye-serialy/1842-skrezhet-metalla-2s.html,https://lordserials.fan/templates/lordfilm-light/images/fire.png,Скрежет металла,"Действие разворачивается в постапокалиптическом будущем, где остатки цивилизованного человечества укрываются в защищенных городах, выселив на безжизненные пустоши всех преступников. В центре сюжета находится никогда не унывающий Джон Доу, который за рулем своего автомобиля, оснащенного броней и вооружением, выполняет роль курьера, доставляя важные грузы между городами-крепостями. Чтобы получить гражданство в Нью-Сан-Франциско, главный герой соглашается на рискованную поездку в Нью-Чикаго, встречая на своем пути множество врагов и опасностей, включая безумного клоуна-убийцу Сладкоежку."
https://lordserials.fan/zarubezhnye-serialy/275-jelektricheskie-sny-filipa-k-dika-v13.html,,Электрические сны Филипа К. Дика,"Первый сезон сериала «Электрические сны Филипа К. Дика» основан на десяти разных произведениях знаменитого писателя-фантаста. В экранизации приняли участие известные актеры: Стив Бушеми («Фарго»), Брайан Крэнстон («Во все тяжкие»), Ричард Мэдден и Лиам Каннингэм («Игра престолов») и другие. Все серии снимались разными режиссерами, а Рональд Д. Мур, занятый в производстве сериала «Звездный путь», Майкл Диннер («Остров фантазий») и уже упомянутый Брайан Крэнстон выступили в качестве исполнительных продюсеров. Каждая серия антологии рассказывает отдельную историю из жизни людей в вымышленном мире. В «Капюшонщике» детектив Росс и его напарница-телепат Онор расследуют дело о таинственном распространителе специальных капюшонов, которые оберегают их носителей от чтения мыслей. В «Автофабрике» под прицелом конфликт между выжившими после ядерной войны и самовоспроизводящимися машинами, а в эпизоде «Человек» угрюмый ученый отправляется в опасную миссию, из которой он возвращается совсем другим. Сюжеты историй строятся вокруг тем, которые не перестают волновать умы наших современников, и оттого так интересно наблюдать за их развитием."
https://lordserials.fan/zarubezhnye-serialy/336-vneshnie-otmeli-v5.html,,Внешние отмели,"Представители подрастающего поколения часто грезят о том, чтобы без особого труда, обнаружить какой-то фантастический клад, позволяющий обеспечить себе долгие годы безбедного быта. Джон Би и его товарищи формируют команду активистов, которая хочет ""перелопатить"" один из островов, пытаясь отыскать спрятанные здесь сокровища. Половину обитателей здешних мест можно отнести богачам, а остальные влачат нищенское существование. В чем секрет такого существенного разделения общества на измаранные и ""отсталые"" слои? Смогут ли осуществить свои желания амбициозные ребята, не признающие никаких запретов в стремлении к заветным высотам?"
https://lordserials.fan/zarubezhnye-serialy/574-konec-parada.html,,Конец парада,"История любовного треугольника: в одном углу - английский аристократ, в другом - его красавица-жена, а в третьем - юная активистка движения суфражисток."
https://lordserials.fan/zarubezhnye-serialy/553-jelita-korotkie-istorii-karla-i-samujel.html,,Элита. Короткие истории. Карла и Самуэль,Самуэль прямо в аэропорту предпринимает романтическую попытку убедить Карлу не улетать в Лондон.
https://lordserials.fan/zarubezhnye-serialy/1299-aviakatastrofy-sovershenno-sekretno.html,,Авиакатастрофы: Совершенно секретно,"Каждое крушение воздушного судна - это катастрофа, позади которой семьи, потерявшие близких и разрушенные жизни. Но каждая авиакатастрофа также и урок, извлеченный из крушения. Теперь мы знаем, как строить более безопасные самолеты, как быстрее эвакуировать пассажиров и эффективнее избежать столкновений. Чьи-то жизни были спасены благодаря тому, что эти трагедии преподнесли нам урок. И все же, несмотря на определенный успех, происходит все больше и больше авиакатастроф. Используя яркие описания произошедшего от выживших пилотов, пассажиров и очевидцев, а также комментарии экспертов по авиации и компьютерную графику, в каждом эпизоде этого сериала исследуется целый перечень авиационных происшествий с целью раскрыть причину трагедии."
https://lordserials.fan/zarubezhnye-serialy/2301-vzryv-na-bortu-pan-am-103.html,,Взрыв на борту Пан Ам 103,"Основано на событиях, связанных со взрывом в Локерби в 1988 году. Сериал сосредоточится на расследовании крушения по обе стороны Атлантики и разрушительном воздействии, которое оно оказало на небольшой городок и семьи, потерявшие близких."
https://lordserials.fan/zarubezhnye-serialy/1416-agentstvo-lokvud-i-kompanija.html,,Агентство «Локвуд и компания»,"Самые талантливые подростки Лондона, каждую ночь отправляются в опасные бои со смертоносными призраками, наводнившими весь город. Среди крупных агентств, укомплектованных взрослыми инспекторами, есть одно независимое - «Локвуд и компания». Им управляют трое подростков - Энтони Локвуд, Джордж Карим и Люси Карлайл. Вместе им предстоит разгадать тайну, которая изменит ход истории."
https://lordserials.fan/zarubezhnye-serialy/240-v-filadelfii-vsegda-solnechno-v3.html,,В Филадельфии всегда солнечно,"Ситком повествует о четырёх друзьях, которые держат ирландский бар в не самом лучшем районе Филадельфии. То же самое можно сказать и о самих героях - они настроены враждебно друг к другу, всегда ссорятся, врут и пытаются что-то друг другу доказать, попадая из-за этого в самые нелепые и смешные ситуации."
https://lordserials.fan/zarubezhnye-serialy/1677-doktor-kto-2024-2.html,,Доктор Кто,"Инопланетянин, подозрительно напоминающий самого обычного британца, путешествует в синей будке ТАРДИС сквозь время и пространство, заводит дружбу с землянами и другими инопланетянами, а также периодически спасает миры, планеты и всю вселенную."
